# time, flux, model, err
1.482651098194764927e-02 1.000094647756734512e+00 9.999986207858231335e-01 1.534523195430139775e-04
1.486851242225384340e-02 9.999059674152487309e-01 9.999986117713530742e-01 1.534523195430139775e-04
1.491051387711195275e-02 1.000012708867946465e+00 9.999986027568797953e-01 1.534523195430139775e-04
1.495251531741814688e-02 1.000011142828687083e+00 9.999985937424097360e-01 1.534523195430139775e-04
1.499451677227625623e-02 9.999688587723328803e-01 9.999985847279361240e-01 1.534523195430139775e-04
1.503651821258245036e-02 9.998176105522141865e-01 9.999985757134659536e-01 1.534523195430139775e-04
1.507851966744055972e-02 9.999646412052977107e-01 9.999985666989927857e-01 1.534523195430139775e-04
1.512052110774675384e-02 9.997810191810178049e-01 9.999985576845226154e-01 1.534523195430139775e-04
1.516252255532890558e-02 1.000280680844668257e+00 9.999985486700507797e-01 1.534657439621446378e-04
1.520452400291105732e-02 1.000003098241810440e+00 9.999985396555789441e-01 1.534523195430139775e-04
1.524652545049320906e-02 9.998870916157421851e-01 9.999985306411072195e-01 1.534616673854434586e-04
1.528852689807536080e-02 9.999842743897964237e-01 9.999985216266353838e-01 1.534544943130170848e-04
1.533052833838155493e-02 1.000037516076829336e+00 9.999985126121649914e-01 1.534523195430139775e-04
1.537252979323966429e-02 9.999668879983232284e-01 9.999985035976918235e-01 1.534593373448316707e-04
1.541453123354585841e-02 9.999040140228266926e-01 9.999984945832217642e-01 1.534523195430139775e-04
1.545653268840396777e-02 9.999437249779142833e-01 9.999984855687482632e-01 1.534581194430391252e-04
1.549853413598611951e-02 1.000026212825041894e+00 9.999984765542766496e-01 1.534523195430139775e-04
1.554053559084422886e-02 1.000034128306905856e+00 9.999984675398030376e-01 1.534523195430139775e-04
1.558253703115042299e-02 1.000059165921826754e+00 9.999984585253328673e-01 1.534540946801717684e-04
1.562453847873257473e-02 1.000062688574158365e+00 9.999984495108612537e-01 1.534523195430139775e-04
1.566653992631472647e-02 9.999024166654645329e-01 9.999984404963896401e-01 1.534523195430139775e-04
1.570854136662092060e-02 1.000146061839038980e+00 9.999984314819192477e-01 1.534523195430139775e-04
1.575054282147902995e-02 9.999120725392656173e-01 9.999984224674458577e-01 1.534523195430139775e-04
1.579254426178522408e-02 1.000191903413226058e+00 9.999984134529756874e-01 1.534624913915018320e-04
1.583454571664333344e-02 1.000023820275335318e+00 9.999984044385025195e-01 1.535067335522241215e-04
1.587654715694952756e-02 1.000006260248423429e+00 9.999983954240320161e-01 1.534523195430139775e-04
1.591854861180763692e-02 9.998682915688840156e-01 9.999983864095587371e-01 1.534523195430139775e-04
1.596055005211383104e-02 1.000024376111084745e+00 9.999983773950886778e-01 1.534523195430139775e-04
1.600255149969598278e-02 1.000153410728305881e+00 9.999983683806167312e-01 1.534523195430139775e-04
1.604455294727813452e-02 9.996643068211055194e-01 9.999983593661448955e-01 1.534523195430139775e-04
1.608655439486028627e-02 9.997078800559376921e-01 9.999983503516732819e-01 1.534523195430139775e-04
1.612855584244243801e-02 1.000000584364229894e+00 9.999983413372015573e-01 1.534523195430139775e-04
1.617055728274863213e-02 9.998476738044420609e-01 9.999983323227314980e-01 1.534523195430139775e-04
1.621255874488269910e-02 9.998841728697948072e-01 9.999983233082565537e-01 1.534523195430139775e-04
1.625456018518889323e-02 9.999385040783075329e-01 9.999983142937861613e-01 1.534523195430139775e-04
1.629656164004700258e-02 9.998604635784855699e-01 9.999983052793127714e-01 1.534523195430139775e-04
1.633856308035319671e-02 9.998153562104967751e-01 9.999982962648426010e-01 1.534523195430139775e-04
1.638056453521130607e-02 1.000083964438123196e+00 9.999982872503694331e-01 1.534523195430139775e-04
1.642256597551750019e-02 9.999330064616752667e-01 9.999982782358991518e-01 1.534523195430139775e-04
1.646456742309965193e-02 9.996069203561807059e-01 9.999982692214274271e-01 1.534538868527357894e-04
1.650656887068180367e-02 9.999666293579132503e-01 9.999982602069555915e-01 1.534523195430139775e-04
1.654857031098799780e-02 9.998803813644222549e-01 9.999982511924854212e-01 1.534523195430139775e-04
1.659057176584610716e-02 9.998627558545947203e-01 9.999982421780118091e-01 1.534523195430139775e-04
1.663257320615230128e-02 9.999144198470846234e-01 9.999982331635417498e-01 1.534523195430139775e-04
1.667457466101041064e-02 9.998420492020272388e-01 9.999982241490684709e-01 1.535503440367487341e-04
1.671657610131660476e-02 9.999282936539793942e-01 9.999982151345984116e-01 1.534585923933558932e-04
1.675857755617471412e-02 1.000000493237024779e+00 9.999982061201247996e-01 1.534523195430139775e-04
1.680057899648090824e-02 1.000002726204507697e+00 9.999981971056546293e-01 1.534523195430139775e-04
1.684258044406305999e-02 9.999947475101593763e-01 9.999981877143044873e-01 1.534523195430139775e-04
1.688458189164521173e-02 1.000040729256046257e+00 9.999981781059279484e-01 1.534523195430139775e-04
1.692658333922736347e-02 9.998048635785045102e-01 9.999981684975511875e-01 1.534516060775323234e-04
1.696858478680951521e-02 9.997644755916957893e-01 9.999981588891746487e-01 1.534523195430139775e-04
1.701058623439166695e-02 9.999663682925093999e-01 9.999981492807982209e-01 1.534523195430139775e-04
1.705258768924977630e-02 1.000022192902748186e+00 9.999981396724201277e-01 1.534523195430139775e-04
1.709458912955597043e-02 1.000130983503799698e+00 9.999981300640451432e-01 1.534523195430139775e-04
1.713659058441407979e-02 1.000050013764109957e+00 9.999981204556670500e-01 1.534523195430139775e-04
1.717859202472027391e-02 1.000030494165480732e+00 9.999981108472920655e-01 1.534523195430139775e-04
1.722059347957838327e-02 1.000072850686567039e+00 9.999981012389140833e-01 1.534523195430139775e-04
1.726259491988457739e-02 9.999676730830732163e-01 9.999980916305390988e-01 1.534523195430139775e-04
1.730459636746672913e-02 9.998015206852485237e-01 9.999980820221625599e-01 1.534523195430139775e-04
1.734659781504888088e-02 9.997573410723019638e-01 9.999980724137860211e-01 1.534755717964398714e-04
1.738859925535507500e-02 1.000081671619778456e+00 9.999980628054112586e-01 1.534523195430139775e-04
1.743060071021318436e-02 9.998362457539683446e-01 9.999980531970329434e-01 1.534865707006800330e-04
1.747260215051937848e-02 9.999372279714693335e-01 9.999980435886581809e-01 1.534538438141165714e-04
1.751460360537748784e-02 9.996952723560086351e-01 9.999980339802799767e-01 1.534523195430139775e-04
1.755660504568368196e-02 1.000199223192972608e+00 9.999980243719052142e-01 1.534523195430139775e-04
1.759860650054179132e-02 9.998092736155399507e-01 9.999980147635268990e-01 1.534523195430139775e-04
1.764060794084798545e-02 9.999503380441113753e-01 9.999980051551521365e-01 1.534523195430139775e-04
1.768260938843013719e-02 9.998966622327880582e-01 9.999979955467755977e-01 1.534523195430139775e-04
1.772461083601228893e-02 1.000022246055148445e+00 9.999979859383991698e-01 1.534523195430139775e-04
1.776661228359444067e-02 9.999082034062799496e-01 9.999979763300226310e-01 1.534523195430139775e-04
1.780861373845255002e-02 9.997804748746208503e-01 9.999979667216443158e-01 1.534523195430139775e-04
1.785061517875874415e-02 9.999645288167672286e-01 9.999979571132693312e-01 1.534523195430139775e-04
1.789261663361685351e-02 1.000041396056358778e+00 9.999979475048912381e-01 1.534523195430139775e-04
1.793461807392304763e-02 9.999643438814104224e-01 9.999979378965163646e-01 1.534523195430139775e-04
1.797661952878115699e-02 1.000068124681644077e+00 9.999979282881382714e-01 1.534542031127282134e-04
1.801862096908735111e-02 1.000048904306774400e+00 9.999979186797632869e-01 1.534523195430139775e-04
1.806062242394546047e-02 9.998754522702397729e-01 9.999979090713851937e-01 1.534523195430139775e-04
1.810262386425165460e-02 9.999101102435973276e-01 9.999978994630102092e-01 1.534523195430139775e-04
1.814462531183380634e-02 9.997410764480366696e-01 9.999978898546336703e-01 1.534523195430139775e-04
1.818662675941595808e-02 9.998836762180393078e-01 9.999978802462572425e-01 1.534635902694758258e-04
1.822862819972215220e-02 9.998792793888011676e-01 9.999978706378822579e-01 1.534992445379758353e-04
1.827062965458026156e-02 9.999097895633675126e-01 9.999978610295041648e-01 1.534523195430139775e-04
1.831263109488645568e-02 1.000117660462289226e+00 9.999978514211291802e-01 1.534523195430139775e-04
1.835463254974456504e-02 9.997283616894799829e-01 9.999978418127510871e-01 1.534523195430139775e-04
1.839663399005075917e-02 9.998032478100097320e-01 9.999978323277313175e-01 1.534523195430139775e-04
1.843863544490886852e-02 9.999593531102989319e-01 9.999978230196632234e-01 1.534535628499117887e-04
1.848063688521506265e-02 9.997447878729516235e-01 9.999978137115985710e-01 1.534523195430139775e-04
1.852263833279721439e-02 1.000086999093853901e+00 9.999978044035320313e-01 1.534523195430139775e-04
1.856463978037936613e-02 9.998953108251735777e-01 9.999977950954656025e-01 1.534541128665812594e-04
